step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
114,baseline,6.0,0.345,0.55,0.5390946502057613,0.35,0.0,5.677246889493567,1.12,23.0,0.014450000000000003,0.205,0.235,0.305,0.255
115,baseline,6.07,0.33999999999999997,0.53,0.5546218487394958,0.35,0.0,5.755797511594853,1.06,32.0,0.014250000000000004,0.255,0.265,0.275,0.205
116,baseline,6.62,0.29000000000000004,0.48,0.6283185840707964,0.39,0.0,5.928638009275883,0.84,25.0,0.013500000000000002,0.235,0.26,0.28,0.225
117,baseline,5.405,0.405,0.545,0.6102564102564103,0.41,0.0,5.823910407420707,0.76,27.0,0.013550000000000003,0.225,0.235,0.285,0.255
118,baseline,5.28,0.42000000000000004,0.52,0.5631067961165048,0.42,0.0,5.715128325936567,0.9,9.0,0.014750000000000001,0.245,0.23,0.27,0.255
119,baseline,5.915,0.355,0.535,0.5584415584415584,0.33,0.0,5.7551026607492535,1.02,23.0,0.014899999999999998,0.215,0.235,0.325,0.225
120,baseline,6.465,0.30500000000000005,0.485,0.5767634854771784,0.34,0.0,5.897082128599402,1.02,27.0,0.01355,0.21,0.255,0.28,0.255
121,baseline,5.42,0.405,0.53,0.5613207547169812,0.41,0.0,5.8016657028795215,0.93,26.0,0.0142,0.225,0.34,0.205,0.23
122,baseline,4.67,0.48,0.53,0.5445026178010471,0.52,0.0,5.575332562303617,0.87,27.0,0.0144,0.26,0.23,0.265,0.245
123,baseline,6.28,0.31999999999999995,0.52,0.5887445887445888,0.4,0.0,5.716266049842895,0.95,25.0,0.013850000000000003,0.2,0.25,0.32,0.23
124,baseline,5.49,0.4,0.51,0.5797101449275363,0.39,0.0,5.671012839874315,0.87,23.0,0.014249999999999999,0.325,0.23,0.255,0.19
125,baseline,5.425,0.405,0.525,0.5748792270531401,0.4,0.0,5.621810271899453,0.88,25.0,0.014900000000000002,0.245,0.265,0.235,0.255
126,baseline,5.38,0.41000000000000003,0.52,0.5645933014354066,0.42,0.0,5.573448217519562,0.91,22.0,0.014400000000000003,0.27,0.275,0.285,0.17
127,baseline,5.85,0.365,0.5,0.5746606334841629,0.38,0.0,5.628758574015651,0.94,19.0,0.013999999999999999,0.29,0.275,0.23,0.205
128,baseline,5.75,0.375,0.5,0.6038647342995169,0.37,0.0,5.65300685921252,0.82,27.0,0.013700000000000002,0.295,0.185,0.29,0.23
129,baseline,6.09,0.33999999999999997,0.51,0.6285714285714286,0.38,0.0,5.740405487370017,0.78,17.0,0.01335,0.255,0.205,0.3,0.24
130,baseline,5.505,0.395,0.545,0.568075117370892,0.36,0.0,5.693324389896013,0.92,15.0,0.014249999999999999,0.24,0.245,0.285,0.23
131,baseline,5.515,0.4,0.485,0.5714285714285714,0.42,0.0,5.657659511916811,0.9,22.0,0.014350000000000002,0.245,0.25,0.295,0.21
132,baseline,5.33,0.41500000000000004,0.52,0.5294117647058824,0.44,0.0,5.59212760953345,1.04,24.0,0.013650000000000002,0.285,0.245,0.26,0.21
133,baseline,6.175,0.33499999999999996,0.475,0.6073059360730594,0.38,0.0,5.708702087626759,0.86,25.0,0.014250000000000002,0.25,0.205,0.335,0.21
134,baseline,5.86,0.355,0.59,0.5972222222222222,0.38,0.0,5.738961670101407,0.87,19.0,0.0142,0.295,0.265,0.22,0.22
135,baseline,5.285,0.42000000000000004,0.515,0.6010362694300518,0.4,0.0,5.648169336081128,0.77,21.0,0.014600000000000002,0.27,0.225,0.24,0.265
136,baseline,6.065,0.345,0.485,0.5822222222222222,0.4,0.0,5.731535468864902,0.94,16.0,0.01415,0.275,0.245,0.26,0.22
137,baseline,5.84,0.36,0.56,0.5765765765765766,0.42,0.0,5.753228375091921,0.94,23.0,0.0141,0.265,0.22,0.28,0.235
138,baseline,6.27,0.31499999999999995,0.58,0.6401869158878505,0.35,0.0,5.856582700073537,0.77,22.0,0.013850000000000001,0.275,0.23,0.26,0.235
139,baseline,6.11,0.33499999999999996,0.54,0.6303317535545023,0.42,0.0,5.90726616005883,0.78,20.0,0.0138,0.22,0.275,0.275,0.23
140,baseline,5.495,0.395,0.555,0.5761904761904761,0.42,0.0,5.824812928047064,0.89,11.0,0.014700000000000001,0.24,0.225,0.285,0.25
141,baseline,5.735,0.37,0.565,0.5625,0.39,0.0,5.806850342437651,0.98,22.0,0.01455,0.245,0.225,0.295,0.235
142,baseline,6.015,0.345,0.535,0.5390946502057613,0.36,0.0,5.848480273950122,1.12,20.0,0.014600000000000002,0.21,0.24,0.295,0.255
143,baseline,6.21,0.32499999999999996,0.54,0.5869565217391305,0.34,0.0,5.920784219160098,0.95,32.0,0.013700000000000002,0.305,0.23,0.25,0.215
