step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
98,supply_adjusted,6.5,0.29000000000000004,0.6,0.6311111111111111,0.37,0.46736842105263166,6.045790404224727,0.83,15.0,0.014650000000000002,0.305,0.22,0.245,0.23
99,supply_adjusted,6.065,0.32999999999999996,0.635,0.6146788990825688,0.39,0.5115789473684209,6.049632323379783,0.84,19.0,0.0138,0.26,0.27,0.2,0.27
100,supply_adjusted,6.475,0.28,0.725,0.6428571428571429,0.3,0.6566666666666667,6.134705858703826,0.8,15.0,0.01725,0.195,0.26,0.225,0.32
101,supply_adjusted,5.435,0.39,0.665,0.6630434782608695,0.46,0.6510000000000001,5.994764686963061,0.62,14.0,0.014149999999999998,0.27,0.26,0.245,0.225
102,supply_adjusted,5.35,0.405,0.6,0.6432432432432432,0.45,0.5423529411764707,5.865811749570448,0.66,14.0,0.0136,0.285,0.28,0.27,0.165
103,supply_adjusted,4.93,0.44499999999999995,0.62,0.6235955056179775,0.51,0.4111764705882352,5.6786493996563605,0.67,9.0,0.014199999999999997,0.3,0.22,0.255,0.225
104,supply_adjusted,5.445,0.395,0.605,0.5734597156398105,0.43,0.4870833333333333,5.631919519725089,0.9,14.0,0.014649999999999998,0.26,0.21,0.245,0.285
105,supply_adjusted,6.215,0.31499999999999995,0.635,0.6171171171171171,0.38,0.405,5.74853561578007,0.85,18.0,0.01635,0.305,0.195,0.215,0.285
106,supply_adjusted,5.735,0.365,0.615,0.616504854368932,0.37,0.6235714285714287,5.7458284926240575,0.79,19.0,0.014700000000000001,0.245,0.205,0.275,0.275
107,supply_adjusted,5.8,0.355,0.65,0.6354679802955665,0.38,0.6734782608695652,5.756662794099245,0.74,22.0,0.0145,0.265,0.255,0.18,0.3
108,supply_adjusted,6.22,0.31499999999999995,0.63,0.6492890995260664,0.4,0.530909090909091,5.849330235279397,0.74,20.0,0.01395,0.265,0.23,0.22,0.285
109,supply_adjusted,5.855,0.36,0.545,0.6066350710900474,0.4,0.3999999999999999,5.850464188223518,0.83,12.0,0.0149,0.255,0.265,0.23,0.25
110,supply_adjusted,5.46,0.395,0.59,0.555045871559633,0.4,0.4469230769230769,5.772371350578815,0.97,9.0,0.01485,0.255,0.275,0.195,0.275
111,supply_adjusted,6.055,0.32999999999999996,0.645,0.5677966101694916,0.41,0.5191304347826088,5.828897080463052,1.02,19.0,0.015050000000000003,0.255,0.245,0.24,0.26
112,supply_adjusted,5.69,0.37,0.61,0.5675675675675675,0.37,0.4599999999999999,5.801117664370441,0.96,24.0,0.015000000000000003,0.28,0.23,0.195,0.295
113,supply_adjusted,6.245,0.31999999999999995,0.555,0.6476190476190476,0.39,0.5305555555555556,5.889894131496353,0.74,31.0,0.014350000000000002,0.28,0.25,0.18,0.29
114,supply_adjusted,6.195,0.31999999999999995,0.605,0.6699507389162561,0.39,0.37400000000000005,5.950915305197083,0.67,16.0,0.0143,0.28,0.25,0.21,0.26
115,supply_adjusted,5.7,0.37,0.6,0.6461538461538462,0.42,0.425,5.900732244157666,0.69,12.0,0.014599999999999998,0.29,0.215,0.25,0.245
